Question,Option A,Option B,Option C,Option D,Answer
हरियाणा राज्य का गठन कब हुआ?,1 नवंबर 1965,1 नवंबर 1966,1 नवंबर 1967,1 नवंबर 1968,Option B
हरियाणा किस राज्य से अलग होकर बना?,उत्तर प्रदेश,हिमाचल प्रदेश,पंजाब,राजस्थान,Option C
हरियाणा के गठन के लिए किस आयोग का गठन किया गया था?,फजल अली आयोग,जे.सी. शाह आयोग,कोठारी आयोग,सरकारिया आयोग,Option B
जे.सी. शाह आयोग में कुल कितने सदस्य थे?,2,3,4,5,Option B
जे.सी. शाह आयोग के अध्यक्ष कौन थे?,एस. दत्त,एम.एम. फिलिप,जे.सी. शाह,हुकुम सिंह,Option C
हरियाणा के गठन की सिफारिश किस समिति ने की थी?,जे.सी. शाह समिति,सरदार हुकुम सिंह समिति,वर्मा समिति,इनमें से कोई नहीं,Option B
हरियाणा भारत का कौन-सा राज्य बना?,16वां,17वां,18वां,19वां,Option B
हरियाणा का गठन किस संविधान संशोधन के तहत हुआ?,17वां,18वां,21वां,42वां,Option B
पंजाब के कुल क्षेत्रफल का कितना प्रतिशत हिस्सा हरियाणा को मिला?,30.18%,35.18%,40.18%,45.18%,Option B
हरियाणा भारत के किस भाग में स्थित है?,उत्तर-पूर्व,उत्तर-पश्चिम,दक्षिण-पश्चिम,मध्य भारत,Option B
हरियाणा का कुल क्षेत्रफल कितना है?,44212 वर्ग किमी,50362 वर्ग किमी,42412 वर्ग किमी,44122 वर्ग किमी,Option A
क्षेत्रफल की दृष्टि से हरियाणा का भारत के राज्यों में कौन सा स्थान है?,18वां,19वां,20वां,21वां,Option C
हरियाणा का अक्षांशीय विस्तार क्या है?,27°39' से 30°55',28°39' से 31°55',27°39' से 31°55',26°39' से 30°55',Option A
हरियाणा का देशांतरीय विस्तार क्या है?,74°27' से 77°36',75°27' से 78°36',74°27' से 76°36',73°27' से 77°36',Option A
हरियाणा किस प्रकार का राज्य है?,तटीय राज्य,भू-आवेष्ठित (Landlocked),द्वीपीय राज्य,इनमें से कोई नहीं,Option B
हरियाणा भारत के कुल क्षेत्रफल का कितना प्रतिशत है?,1.34%,2.34%,1.44%,2.09%,Option A
हरियाणा कितने राज्यों के साथ सीमा साझा करता है?,4,5,6,7,Option B
हरियाणा के उत्तर में कौन सा राज्य स्थित है?,पंजाब,उत्तराखंड,हिमाचल प्रदेश,उत्तर प्रदेश,Option C
हरियाणा की सबसे लंबी सीमा किस राज्य के साथ लगती है?,पंजाब,राजस्थान,उत्तर प्रदेश,हिमाचल प्रदेश,Option B
यमुना नदी हरियाणा की किस सीमा पर बहती है?,पश्चिमी,उत्तरी,पूर्वी,दक्षिणी,Option C
हरियाणा के पूर्व में कौन सा राज्य स्थित है?,राजस्थान,उत्तर प्रदेश,पंजाब,हिमाचल प्रदेश,Option B
हरियाणा ने दिल्ली को कितनी तरफ से घेरा हुआ है?,1,2,3,4,Option C
हरियाणा दिल्ली को किस दिशा से नहीं घेरता है?,उत्तर,पश्चिम,दक्षिण,पूर्व,Option D
हरियाणा की सबसे छोटी सीमा किस राज्य के साथ लगती है?,हिमाचल प्रदेश,उत्तराखंड,पंजाब,दिल्ली,Option B
उत्तराखंड के साथ हरियाणा की सीमा की लंबाई लगभग कितनी है?,11 किमी,21 किमी,31 किमी,41 किमी,Option A
हरियाणा का राजकीय वृक्ष कौन सा है?,बरगद,पीपल,नीम,शिशम,Option B
हरियाणा का राजकीय पुष्प क्या है?,गुलाब,कमल,सूरजमुखी,गेंदा,Option B
हरियाणा का राजकीय पशु कौन सा है?,बाघ,काला हिरण (Black Buck),नीलगाय,शेर,Option B
हरियाणा का राजकीय पक्षी कौन सा है?,मोर,काला तीतर (Black Francolin),कबूतर,तोता,Option B
हरियाणा का राजकीय खेल कौन सा है?,कबड्डी,क्रिकेट,कुश्ती,हॉकी,Option C
हरियाणा की राजकीय भाषा कौन सी है?,हरियाणवी,पंजाबी,हिंदी,अंग्रेजी,Option C
हरियाणा की दूसरी राजकीय भाषा कौन सी है?,अंग्रेजी,उर्दू,पंजाबी,संस्कृत,Option C
पंजाबी को हरियाणा की दूसरी राजकीय भाषा का दर्जा कब मिला?,2000,2005,2010,2014,Option C
हरियाणा के राजकीय चिन्ह में क्या शामिल है?,अशोक स्तंभ,शंख,गेहूं की बालियां,उपरोक्त सभी,Option D
हरियाणा की राजधानी क्या है?,पंचकूला,गुरुग्राम,चंडीगढ़,नई दिल्ली,Option C
चंडीगढ़ का वास्तुकार कौन था?,एडविन लुटियंस,ली कार्बुजिए,नेकचंद,हरबर्ट बेकर,Option B
हरियाणा में कुल कितने मंडल (Divisions) हैं?,4,5,6,7,Option C
जिलों की संख्या के आधार पर हरियाणा का सबसे बड़ा मंडल कौन सा है?,हिसार,रोहतक,अंबाला,गुरुग्राम,Option B
फरवरी 2017 में कौन से दो नए मंडल बनाए गए?,करनाल और फरीदाबाद,हिसार और रोहतक,गुरुग्राम और अंबाला,करनाल और जींद,Option A
वर्तमान में हरियाणा में कुल कितने जिले हैं?,21,22,23,20,Option B
हरियाणा के गठन के समय (1966) कुल कितने जिले थे?,5,6,7,8,Option C
गठन के समय हरियाणा का सबसे बड़ा जिला कौन सा था?,हिसार,जींद,रोहतक,अंबाला,Option A
गठन के समय हरियाणा का सबसे छोटा जिला कौन सा था?,महेंद्रगढ़,जींद,करनाल,अंबाला,Option B
वर्तमान में क्षेत्रफल की दृष्टि से हरियाणा का सबसे बड़ा जिला कौन सा है?,हिसार,भिवानी,सिरसा,जींद,Option C
वर्तमान में क्षेत्रफल की दृष्टि से हरियाणा का सबसे छोटा जिला कौन सा है?,पंचकूला,फरीदाबाद,गुरुग्राम,रेवाड़ी,Option B
हरियाणा का नवीनतम (22वां) जिला कौन सा है?,नूंह,पलवल,चरखी दादरी,झज्जर,Option C
चरखी दादरी जिला कब बना (घोषणा)?,2014,2015,2016,2017,Option C
हरियाणा में कुल कितनी पुलिस रेंज हैं?,3,4,5,6,Option C
निम्नलिखित में से कौन सी पुलिस कमिश्नरी नहीं है?,गुरुग्राम,फरीदाबाद,पंचकूला,अंबाला,Option D
दक्षिण पुलिस रेंज का मुख्यालय कहाँ है?,महेंद्रगढ़,रेवाड़ी,नूंह,पलवल,Option B
हरियाणा में कुल कितनी पुलिस कमिश्नरी हैं?,2,3,4,5,Option C
सोनीपत को पुलिस कमिश्नरी कब बनाया गया?,2020,2021,2022,2023,Option C
हरियाणा विधानसभा में कुल कितनी सीटें हैं?,80,90,100,70,Option B
हरियाणा विधानसभा में अनुसूचित जाति (SC) के लिए कितनी सीटें आरक्षित हैं?,10,15,17,20,Option C
हरियाणा विधानसभा कैसी है?,द्विसदनीय,एक सदनीय,त्रिसदनीय,इनमें से कोई नहीं,Option B
हरियाणा में लोकसभा की कुल कितनी सीटें हैं?,5,10,15,20,Option B
हरियाणा में लोकसभा की कितनी सीटें अनुसूचित जाति के लिए आरक्षित हैं?,1,2,3,4,Option B
लोकसभा की आरक्षित सीटें कौन सी हैं?,अंबाला और हिसार,अंबाला और सिरसा,सिरसा और रोहतक,हिसार और रोहतक,Option B
हरियाणा में राज्यसभा की कुल कितनी सीटें हैं?,5,7,10,12,Option A
2011 की जनगणना के अनुसार हरियाणा की कुल जनसंख्या लगभग कितनी है?,2.11 करोड़,2.53 करोड़,3.53 करोड़,1.53 करोड़,Option B
हरियाणा की जनसंख्या भारत की कुल जनसंख्या का कितना प्रतिशत है?,1.09%,2.09%,3.09%,4.09%,Option B
2011 के अनुसार हरियाणा का जनसंख्या घनत्व कितना है?,382 व्यक्ति/वर्ग किमी,573 व्यक्ति/वर्ग किमी,879 व्यक्ति/वर्ग किमी,473 व्यक्ति/वर्ग किमी,Option B
2011 के अनुसार हरियाणा का लिंगानुपात कितना था?,879,900,920,850,Option A
भारत में लिंगानुपात की दृष्टि से हरियाणा का स्थान कैसा था (2011)?,सबसे अच्छा,सबसे खराब (सबसे कम),मध्यम,दूसरा सबसे कम,Option B
2011 के अनुसार हरियाणा की साक्षरता दर कितनी है?,65.55%,75.55%,85.55%,70.55%,Option B
'भारत की गेहूं की टोकरी' किसे कहा जाता है?,पंजाब,उत्तर प्रदेश,हरियाणा,मध्य प्रदेश,Option C
'दूध-दही का खाणा' किस राज्य को कहा जाता है?,राजस्थान,गुजरात,हरियाणा,पंजाब,Option C
'खिलाड़ियों की खान' किस राज्य का उपनाम है?,मणिपुर,हरियाणा,पंजाब,महाराष्ट्र,Option B
हरियाणा के प्रथम मुख्यमंत्री कौन थे?,राव बीरेंद्र सिंह,बंसीलाल,भजन लाल,पं. भगवत दयाल शर्मा,Option D
पं. भगवत दयाल शर्मा का संबंध किस जिले से था?,रोहतक,झज्जर,जींद,हिसार,Option B
हरियाणा के प्रथम निर्वाचित मुख्यमंत्री कौन थे?,पं. भगवत दयाल शर्मा,राव बीरेंद्र सिंह,बंसीलाल,देवीलाल,Option B
हरियाणा के प्रथम राज्यपाल कौन थे?,बी.एन. चक्रवर्ती,आर.एस. नरूला,धर्मवीर,जी.डी. तापसे,Option C
हरियाणा विधानसभा की प्रथम महिला अध्यक्ष कौन थीं?,संतोष यादव,शन्नो देवी,प्रसन्नी देवी,किरण चौधरी,Option B
हरियाणा के प्रथम लोकायुक्त कौन थे?,प्रीतम पाल सिंह,नवल किशोर अग्रवाल,बाबू परमानंद,हरपाल सिंह,Option A
'हरियाणा का हृदय' (Heart of Haryana) किस जिले को कहा जाता है?,रोहतक,जींद,सोनीपत,करनाल,Option B
जींद जिले की सीमा कितने अन्य जिलों से लगती है?,5,6,7,8,Option C
हरियाणा का कितना प्रतिशत क्षेत्रफल NCR के अंतर्गत आता है?,47%,57%,67%,37%,Option B
हरियाणा के कितने जिले NCR (राष्ट्रीय राजधानी क्षेत्र) में आते हैं?,12,13,14,15,Option C
'ट्राइ-सिटी' में कौन शामिल नहीं है?,पंचकूला,मोहाली,चंडीगढ़,अंबाला,Option D
'हरियाणा का प्रवेश द्वार' (Gateway of Haryana) किसे कहा जाता है?,बहादुरगढ़,गुरुग्राम,फरीदाबाद,सोनीपत,Option A
हरियाणा के 'राज्य कवि' का दर्जा किसे प्राप्त है?,लखमी चंद,उदयभानु हंस,सुरेंद्र शर्मा,मेहर सिंह,Option B
किसे 'हरियाणा का कालिदास' या 'शेक्सपियर' कहा जाता है?,उदयभानु हंस,पं. लखमी चंद,बाजे भगत,धनपत सिंह,Option B
बाणभट्ट की 'हर्षचरित' में हरियाणा को क्या कहा गया है?,ब्रह्मावर्त,रज हरियाणे,श्रीकंठ जनपद,बहुधान्यक,Option C
ऋग्वेद में हरियाणा को क्या कहा गया है?,रज हरियाणे,ब्रह्मावर्त,आर्याना,हरियाल,Option A
हरियाणा में अब तक कितनी बार राष्ट्रपति शासन लगा है?,2,3,4,5,Option B
हरियाणा में पहली बार राष्ट्रपति शासन कब लगा?,1966,1967,1968,1977,Option B
हरियाणा में दूसरी बार राष्ट्रपति शासन कब लगा?,1967,1977,1987,1991,Option B
हरियाणा में तीसरी बार राष्ट्रपति शासन कब लगा?,1989,1991,1996,1999,Option B
'बिश्नोई समाज का सिरमौर' किस मुख्यमंत्री को कहा जाता है?,देवीलाल,बंसीलाल,भजन लाल,ओमप्रकाश चौटाला,Option C
हरियाणा का कौन सा जिला गठन के समय से अब तक विभाजित नहीं हुआ है?,हिसार,रोहतक,अंबाला,जींद,Option D
यमुना नदी हरियाणा और किस राज्य के बीच प्राकृतिक सीमा बनाती है?,पंजाब,हिमाचल,उत्तर प्रदेश,राजस्थान,Option C
जींद को हरियाणा का हृदय क्यों कहा जाता है?,भौगोलिक मध्य स्थिति के कारण,सबसे अधिक जिलों से सीमा लगने के कारण,सबसे पुराना जिला होने के कारण,राजधानी के पास होने के कारण,Option B
हरियाणा का गठन किस भाषा के आधार पर हुआ?,पंजाबी,हिंदी,हरियाणवी,अंग्रेजी,Option B
हरियाणा विधानसभा का डिजाइन किसने तैयार किया था?,नेकचंद,ली कार्बुजिए,एडविन लुटियंस,मैथ्यू नोवेल,Option B
हरियाणा उच्च न्यायालय कहाँ स्थित है?,पंचकूला,दिल्ली,चंडीगढ़,करनाल,Option C
हरियाणा के दक्षिण-पश्चिम में कौन सा राज्य है?,पंजाब,हिमाचल प्रदेश,राजस्थान,उत्तराखंड,Option C
'कृष्ण मृग' (Black Buck) किस राज्य का राजकीय पशु है?,पंजाब,हरियाणा,राजस्थान,उत्तर प्रदेश,Option B
हरियाणा में सबसे बाद में बनी पुलिस कमिश्नरी कौन सी है?,गुरुग्राम,फरीदाबाद,पंचकूला,सोनीपत,Option D
