"हरियाणा सबसे पहले किस राज्य का हिस्सा था", "मध्य प्रदेश", "उत्तर प्रदेश", "पंजाब", "दिल्ली", "मध्य प्रदेश"
"हरियाणा को सबसे पहले किस भारतीय राज्य में शामिल किया गया था", "मध्य प्रदेश", "उत्तर प्रदेश", "पंजाब", "दिल्ली", "मध्य प्रदेश"
"मध्यप्रदेश के बाद हरियाणा को 1833 में किसका हिस्सा बनाया गया", "उत्तर प्रदेश", "पंजाब", "दिल्ली", "राजस्थान", "उत्तर प्रदेश"
"किस वर्ष हरियाणा को उत्तर प्रदेश का हिस्सा बनाया गया था", "1833", "1858", "1925", "1947", "1833"
"1858 में हरियाणा को किसमें जोड़ा गया", "पंजाब", "उत्तर प्रदेश", "मध्य प्रदेश", "दिल्ली", "पंजाब"
"हरियाणा को किस वर्ष पंजाब का हिस्सा बनाया गया था", "1858", "1833", "1925", "1947", "1858"
"सर्वप्रथम 1925 में दिल्ली में आयोजित अखिल भारतीय मुस्लिम लीग का क्या हुआ था", "अधिवेशन", "सम्मेलन", "बैठक", "प्रदर्शन", "अधिवेशन"
"किस शहर में 1925 में अखिल भारतीय मुस्लिम लीग का अधिवेशन आयोजित किया गया था", "दिल्ली", "लाहौर", "कराची", "मुंबई", "दिल्ली"
"1925 में अखिल भारतीय मुस्लिम लीग के अधिवेशन में पंजाब से अलग करके दिल्ली में मिलाने की बात किसने कही", "परिजादा मोहम्मद", "दीनबंधु गुप्त", "संत फतेह सिंह", "सरदार हुकुम सिंह", "परिजादा मोहम्मद"
"किस व्यक्ति ने 1925 में पंजाब से हरियाणा को अलग कर दिल्ली में मिलाने का प्रस्ताव रखा", "परिजादा मोहम्मद", "दीनबंधु गुप्त", "संत फतेह सिंह", "सरदार हुकुम सिंह", "परिजादा मोहम्मद"
"दीनबंधु गुप्त ने हरियाणा को दिल्ली में मिलाने की बात कब कही", "1932", "1925", "1947", "1949", "1932"
"दीनबंधु गुप्त ने किस वर्ष हरियाणा को दिल्ली में शामिल करने की वकालत की", "1932", "1925", "1947", "1949", "1932"
"दीनबंधु गुप्त के अनुसार हरियाणा और दिल्ली को क्यों मिलाया जाना चाहिए था", "भाषा और रहन-सहन न मिलने के कारण", "आर्थिक कारणों से", "राजनीतिक कारणों से", "सुरक्षा कारणों से", "भाषा और रहन-सहन न मिलने के कारण"
"दीनबंधु गुप्त ने हरियाणा और दिल्ली के विलय का आधार क्या बताया था", "भाषाई और सांस्कृतिक भिन्नता", "आर्थिक समानता", "भौगोलिक निकटता", "राजनीतिक स्थिरता", "भाषाई और सांस्कृतिक भिन्नता"
"15 अगस्त 1947 को भारत आजाद होने के बाद यहाँ की भाषा को लेकर क्या हुआ", "विवाद", "समझौता", "समाधान", "स्थिरता", "विवाद"
"भारत की स्वतंत्रता के बाद हरियाणा क्षेत्र में कौन सा प्रमुख मुद्दा उभरा था", "भाषा का विवाद", "आर्थिक विकास", "शिक्षा का विस्तार", "कृषि सुधार", "भाषा का विवाद"
"अब तक हिंदी भाषा वाले लोग क्या चाहते थे", "कि HR अलग राज्य बने", "कि पंजाब में मिल जाएं", "कि दिल्ली में मिल जाएं", "कि UP में मिल जाएं", "कि HR अलग राज्य बने"
"हिंदी भाषी जनता की मुख्य मांग क्या थी", "हरियाणा को एक अलग राज्य के रूप में स्थापित करना", "पंजाब में शामिल होना", "दिल्ली के साथ विलय", "उत्तर प्रदेश का हिस्सा बनना", "हरियाणा को एक अलग राज्य के रूप में स्थापित करना"
"उस समय पंजाब के मुख्यमंत्री कौन थे (1947-48) जो हरियाणा के सिरसा जिले से थे", "गोपीनाथ भार्गव", "भीमसेन सच्चर", "प्रताप सिंह कैरों", "ज्ञानी गुरदेव सिंह", "गोपीनाथ भार्गव"
"1947-48 में पंजाब के मुख्यमंत्री कौन थे जिनका संबंध हरियाणा के सिरसा जिले से था", "गोपीनाथ भार्गव", "भीमसेन सच्चर", "प्रताप सिंह कैरों", "ज्ञानी गुरदेव सिंह", "गोपीनाथ भार्गव"
"सच्चर फार्मला किस मुख्यमंत्री ने तैयार किया था", "भीमसेन सच्चर", "गोपीनाथ भार्गव", "प्रताप सिंह कैरों", "ज्ञानी गुरदेव सिंह", "भीमसेन सच्चर"
"किस पंजाब के मुख्यमंत्री ने सच्चर फार्मूले का प्रारूप तैयार किया था", "भीमसेन सच्चर", "गोपीनाथ भार्गव", "प्रताप सिंह कैरों", "ज्ञानी गुरदेव सिंह", "भीमसेन सच्चर"
"सच्चर फार्मला कब लागू हुआ था", "1 अक्टूबर 1949", "15 अगस्त 1947", "23 सितंबर 1965", "1 नवंबर 1966", "1 अक्टूबर 1949"
"सच्चर फार्मला किस तारीख को प्रभावी हुआ था", "1 अक्टूबर 1949", "15 अगस्त 1947", "26 जनवरी 1950", "1 नवंबर 1966", "1 अक्टूबर 1949"
"सच्चर फार्मूला के तहत HR को कितने भागों में बांटा गया", "2", "3", "4", "1", "2"
"सच्चर फार्मूले के अनुसार हरियाणा क्षेत्र को कितने भाषाई उप-क्षेत्रों में विभाजित किया गया था", "2", "3", "4", "5", "2"
"सच्चर फार्मूला के तहत HR को किन दो क्षेत्रों में बांटा गया था", "हिंदी क्षेत्र और पंजाबी क्षेत्र", "पूर्वी क्षेत्र और पश्चिमी क्षेत्र", "उत्तरी क्षेत्र और दक्षिणी क्षेत्र", "ग्रामीण क्षेत्र और शहरी क्षेत्र", "हिंदी क्षेत्र और पंजाबी क्षेत्र"
"सच्चर फार्मूले के अंतर्गत हरियाणा को किस आधार पर दो मुख्य क्षेत्रों में बांटा गया", "भाषाई आधार पर (हिंदी और पंजाबी)", "भौगोलिक आधार पर", "आर्थिक आधार पर", "सांस्कृतिक आधार पर", "भाषाई आधार पर (हिंदी और पंजाबी)"
"फजल अली आयोग का गठन कब हुआ था", "1953", "1956", "1960", "1965", "1953"
"किस वर्ष फजल अली आयोग का गठन किया गया था", "1953", "1956", "1960", "1965", "1953"
"फजल अली आयोग की अध्यक्षता किसने की थी", "फजल अली", "हृदयनाथ", "K.M पाणकर", "J.C शाह", "फजल अली"
"राज्य पुनर्गठन आयोग की अध्यक्षता किसने की थी", "फजल अली", "हृदयनाथ कुंजरू", "के.एम. पणिक्कर", "जे.सी. शाह", "फजल अली"
"फजल अली कौन थे", "SC के न्यायधीश", "पंजाब के मुख्यमंत्री", "हरियाणा के मुख्यमंत्री", "एक आंदोलनकारी", "SC के न्यायधीश"
"फजल अली का पेशा क्या था", "सर्वोच्च न्यायालय के न्यायधीश", "एक राजनेता", "एक शिक्षाविद", "एक अर्थशास्त्री", "सर्वोच्च न्यायालय के न्यायधीश"
"फजल अली आयोग को किस नाम से जाना जाता था", "राज्य पुर्नगठन आयोग", "भाषा आयोग", "सीमा आयोग", "विकास आयोग", "राज्य पुर्नगठन आयोग"
"राज्य पुनर्गठन के लिए गठित आयोग का प्रचलित नाम क्या था", "फजल अली आयोग", "सच्चर आयोग", "हुकुम सिंह कमेटी", "शाह आयोग", "फजल अली आयोग"
"फजल अली आयोग ने अपनी रिपोर्ट कब पेश की थी", "1956", "1953", "1955", "1960", "1956"
"फजल अली आयोग ने अपनी रिपोर्ट किस वर्ष प्रस्तुत की थी", "1956", "1953", "1955", "1960", "1956"
"फजल अली आयोग ने भाषा के आधार पर राज्य का विभाजन की मांग को क्या किया", "अस्वीकार कर दी", "स्वीकार कर ली", "विचार किया", "स्थगित कर दी", "अस्वीकार कर दी"
"फजल अली आयोग ने भाषाई आधार पर राज्यों के पुनर्गठन की मांग पर क्या निर्णय लिया", "मांग अस्वीकार कर दी", "मांग स्वीकार कर ली", "मांग पर विचार किया", "मांग को टाल दिया", "मांग अस्वीकार कर दी"
"फजल अली आयोग में कितने सदस्य थे", "3", "2", "4", "5", "3"
"फजल अली आयोग की सदस्य संख्या कितनी थी", "3", "2", "4", "5", "3"
"फजल अली आयोग के सदस्य कौन-कौन थे", "फजल अली हृदयनाथ और K.M पाणकर", "फजल अली और हृदयनाथ", "फजल अली और K.M पाणकर", "हृदयनाथ और K.M पाणकर", "फजल अली हृदयनाथ और K.M पाणकर"
"फजल अली आयोग के तीनों सदस्य कौन थे", "फजल अली हृदयनाथ कुंजरू और के.एम. पणिक्कर", "फजल अली और हृदयनाथ कुंजरू", "फजल अली और के.एम. पणिक्कर", "हृदयनाथ कुंजरू और के.एम. पणिक्कर", "फजल अली हृदयनाथ कुंजरू और के.एम. पणिक्कर"
"फजल अली पहली बार रोहतक कब आए", "1955", "1953", "1956", "1960", "1955"
"फजल अली ने रोहतक का पहला दौरा किस वर्ष किया था", "1955", "1953", "1956", "1960", "1955"
"1960 तक हरियाणा की अलग राज्य की मांग का क्या नतीजा निकला", "लोग सत्याग्रह पर उतर आए", "मांग मान ली गई", "आंदोलन तेज हुआ", "सरकार झुकी", "लोग सत्याग्रह पर उतर आए"
"1960 के दशक में हरियाणा के अलग राज्य की मांग को लेकर क्या हुआ", "सत्याग्रह शुरू हो गया", "शांतिपूर्ण वार्ता हुई", "कानूनी कार्यवाही हुई", "चुनाव आयोजित हुए", "सत्याग्रह शुरू हो गया"
"1965 में संत फतेह सिंह ने क्या शुरू किया था", "आमरन अनशन", "सत्याग्रह", "विरोध प्रदर्शन", "भूख हड़ताल", "आमरन अनशन"
"संत फतेह सिंह ने 1965 में पंजाब सूबे की मांग के लिए कौन सा कदम उठाया", "आमरन अनशन", "जन आंदोलन", "कानूनी याचिका", "संसदीय बहस", "आमरन अनशन"
"संत फतेह सिंह ने पंजाब सूबे के लिए कितने दिन का अल्टीमेटम दिया था", "25 दिन", "15 दिन", "30 दिन", "20 दिन", "25 दिन"
"संत फतेह सिंह ने अपनी मांग पूरी करने के लिए कितने दिनों की समय सीमा दी थी", "25 दिन", "20 दिन", "30 दिन", "15 दिन", "25 दिन"
"सरदार हुकुम सिंह कमेटी का गठन कब हुआ था", "23 सितंबर 1965", "17 अक्टूबर 1965", "23 अप्रैल 1966", "31 मई 1966", "23 सितंबर 1965"
"सरदार हुकुम सिंह कमेटी का गठन किस तारीख को किया गया था", "23 सितंबर 1965", "17 अक्टूबर 1965", "23 अप्रैल 1966", "31 मई 1966", "23 सितंबर 1965"
"रोहतक में मीटिंग कब हुई थी जिसमें तीन प्रस्ताव पास किए गए थे", "17 अक्टूबर 1965", "23 सितंबर 1965", "23 अप्रैल 1966", "31 मई 1966", "17 अक्टूबर 1965"
"रोहतक में तीन प्रस्तावों को पारित करने के लिए एक महत्वपूर्ण बैठक किस तारीख को हुई थी", "17 अक्टूबर 1965", "23 सितंबर 1965", "23 अप्रैल 1966", "31 मई 1966", "17 अक्टूबर 1965"
"रोहतक मीटिंग में प्रस्ताव 1 क्या था", "एक नई दिल्ली स्टेट बनाई जाए जिसमें पंजाब दिल्ली राजस्थान UP के सभी हिंदी बोलने वाले इलाकों को शामिल किया जाए", "पंजाब के वो सारे क्षेत्र एक नए राज्य में शामिल किए जाने चाहिए जहाँ हिंदी बोली जाती हैं", "एक HR प्रांत बने और हर जगह का हिंदी स्पीकिंग Area उसके अंदर मिलाया जाए", "हिंदी क्षेत्र और पंजाबी क्षेत्र में बांटा जाए", "एक नई दिल्ली स्टेट बनाई जाए जिसमें पंजाब दिल्ली राजस्थान UP के सभी हिंदी बोलने वाले इलाकों को शामिल किया जाए"
"रोहतक में पारित पहले प्रस्ताव का मुख्य उद्देश्य क्या था", "पंजाब दिल्ली राजस्थान UP के हिंदी भाषी क्षेत्रों को मिलाकर एक नई दिल्ली स्टेट बनाना", "पंजाब के हिंदी भाषी क्षेत्रों को अलग राज्य बनाना", "एक हरियाणा प्रांत का निर्माण करना", "भाषाई आधार पर विभाजन", "पंजाब दिल्ली राजस्थान UP के हिंदी भाषी क्षेत्रों को मिलाकर एक नई दिल्ली स्टेट बनाना"
"रोहतक मीटिंग में प्रस्ताव 2 क्या था", "अगर UP और RJ मना करते हैं तो पंजाब के वो सारे क्षेत्र एक नए राज्य में शामिल किए जाने चाहिए जहाँ हिंदी बोली जाती हैं", "एक नई दिल्ली स्टेट बनाई जाए जिसमें पंजाब दिल्ली राजस्थान UP के सभी हिंदी बोलने वाले इलाकों को शामिल किया जाए", "एक HR प्रांत बने और हर जगह का हिंदी स्पीकिंग Area उसके अंदर मिलाया जाए", "हरियाणा को दो भागों में बांटा जाए", "अगर UP और RJ मना करते हैं तो पंजाब के वो सारे क्षेत्र एक नए राज्य में शामिल किए जाने चाहिए जहाँ हिंदी बोली जाती हैं"
"रोहतक मीटिंग के दूसरे प्रस्ताव में क्या शर्त रखी गई थी", "यदि उत्तर प्रदेश और राजस्थान इनकार करें तो पंजाब के हिंदी भाषी क्षेत्रों को नए राज्य में शामिल किया जाए", "एक नई दिल्ली स्टेट का गठन", "एक हरियाणा प्रांत का निर्माण", "हरियाणा को दो भागों में बांटना", "यदि उत्तर प्रदेश और राजस्थान इनकार करें तो पंजाब के हिंदी भाषी क्षेत्रों को नए राज्य में शामिल किया जाए"
"रोहतक मीटिंग में प्रस्ताव 3 क्या था", "एक HR प्रांत बने और हर जगह का हिंदी स्पीकिंग Area उसके अंदर मिलाया जाए", "एक नई दिल्ली स्टेट बनाई जाए जिसमें पंजाब दिल्ली राजस्थान UP के सभी हिंदी बोलने वाले इलाकों को शामिल किया जाए", "अगर UP और RJ मना करते हैं तो पंजाब के वो सारे क्षेत्र एक नए राज्य में शामिल किए जाने चाहिए जहाँ हिंदी बोली जाती हैं", "हरियाणा को दो भागों में बांटा जाए", "एक HR प्रांत बने और हर जगह का हिंदी स्पीकिंग Area उसके अंदर मिलाया जाए"
"रोहतक मीटिंग के तीसरे प्रस्ताव का मुख्य लक्ष्य क्या था", "एक हरियाणा प्रांत बनाना और सभी हिंदी भाषी क्षेत्रों को उसमें मिलाना", "नई दिल्ली स्टेट का गठन", "पंजाब के हिंदी भाषी क्षेत्रों को अलग राज्य बनाना", "हरियाणा को दो भागों में बांटना", "एक हरियाणा प्रांत बनाना और सभी हिंदी भाषी क्षेत्रों को उसमें मिलाना"
"हुकुम सिंह कमेटी ने सारी बातें मान ली", "सही", "गलत", "आंशिक रूप से सही", "जानकारी अधूरी", "सही"
"क्या हुकुम सिंह कमेटी ने रोहतक मीटिंग के सभी प्रस्तावों को स्वीकार कर लिया था", "हाँ", "नहीं", "कुछ को ही", "जानकारी नहीं", "हाँ"
"एक सीमा आयोग का गठन कब हुआ था", "23 अप्रैल 1966", "31 मई 1966", "28 सितंबर 1966", "1 नवंबर 1966", "23 अप्रैल 1966"
"सीमा आयोग का गठन किस तारीख को किया गया था", "23 अप्रैल 1966", "31 मई 1966", "28 सितंबर 1966", "1 नवंबर 1966", "23 अप्रैल 1966"
"सीमा आयोग का गठन किसकी सिफारिश पर हुआ था", "हुकुम सिंह की सिफारिश पर", "संत फतेह सिंह की सिफारिश पर", "फजल अली की सिफारिश पर", "सच्चर की सिफारिश पर", "हुकुम सिंह की सिफारिश पर"
"सीमा आयोग का गठन किसकी अनुशंसा पर किया गया था", "हुकुम सिंह की", "संत फतेह सिंह की", "फजल अली की", "भीमसेन सच्चर की", "हुकुम सिंह की"
"सीमा आयोग के अध्यक्ष कौन थे", "J.C शाह", "फजल अली", "हृदयनाथ", "K.M पाणकर", "J.C शाह"
"सीमा आयोग की अध्यक्षता किस न्यायमूर्ति ने की थी", "J.C शाह", "फजल अली", "हृदयनाथ कुंजरू", "के.एम. पणिक्कर", "J.C शाह"
"सीमा आयोग ने दोनों राज्यों की किस चीज का बंटवारा किया", "सीमा का", "भाषा का", "मुख्यमंत्री का", "राजधानी का", "सीमा का"
"सीमा आयोग का प्रमुख कार्य क्या था", "दोनों राज्यों की सीमाओं का निर्धारण", "भाषाई क्षेत्रों का विभाजन", "मुख्यमंत्रियों का चयन", "राजधानी का चुनाव", "दोनों राज्यों की सीमाओं का निर्धारण"
"सीमा आयोग ने अपनी रिपोर्ट कब दी थी", "31 मई 1966", "23 अप्रैल 1966", "28 सितंबर 1966", "1 नवंबर 1966", "31 मई 1966"
"सीमा आयोग ने अपनी रिपोर्ट किस तारीख को प्रस्तुत की", "31 मई 1966", "23 अप्रैल 1966", "28 सितंबर 1966", "1 नवंबर 1966", "31 मई 1966"
"सीमा आयोग की रिपोर्ट के हिसाब से कौन से जिले हरियाणा में मिलाए जाने चाहिए थे", "हिसार महेंद्रगढ़ गुडगाँव रोहतक करनाल नरवाना तहसील अंबाला जगाधरी और खराड तहसील", "फरीदाबाद पलवल नूह", "पानीपत सोनीपत जींद", "उपरोक्त सभी", "हिसार महेंद्रगढ़ गुडगाँव रोहतक करनाल नरवाना तहसील अंबाला जगाधरी और खराड तहसील"
"सीमा आयोग की रिपोर्ट में हरियाणा में शामिल करने के लिए किन क्षेत्रों का उल्लेख किया गया था", "हिसार महेंद्रगढ़ गुडगाँव रोहतक करनाल नरवाना तहसील अंबाला जगाधरी और खराड तहसील", "अंबाला यमुनानगर कुरुक्षेत्र", "हिसार फतेहाबाद सिरसा", "भिवानी दादरी चरखी", "हिसार महेंद्रगढ़ गुडगाँव रोहतक करनाल नरवाना तहसील अंबाला जगाधरी और खराड तहसील"
"नरवाना तहसील किस जिले में आती थी", "संगरूर", "पटियाला", "लुधियाना", "जालंधर", "संगरूर"
"नरवाना तहसील पहले पंजाब के किस जिले का हिस्सा थी", "संगरूर", "लुधियाना", "पटियाला", "अमृतसर", "संगरूर"
"अंबाला जगाधरी और खराड तहसील में कौन सा शहर शामिल था", "चंडीगढ़", "अंबाला", "यमुनानगर", "पंचकूला", "चंडीगढ़"
"सीमा आयोग की रिपोर्ट में अंबाला जगाधरी और खराड तहसील के साथ किस शहर को हरियाणा में मिलाने की सिफारिश की गई थी", "चंडीगढ़", "अंबाला", "यमुनानगर", "पंचकूला", "चंडीगढ़"
"इस रिपोर्ट के आधार पर 28 सितंबर 1966 को हरियाणा में कौन से जिले और हिस्सों को शामिल किया गया", "रोहतक गुडगाँव करनाल महेंद्रगढ़ जींद नरवाना अंबाला जगाधरी नारायणगढ़ और मणीमाजरा के कुछ हिस्से", "हिसार महेंद्रगढ़ गुडगाँव रोहतक करनाल", "अंबाला जगाधरी और खराड", "उपरोक्त सभी", "रोहतक गुडगाँव करनाल महेंद्रगढ़ जींद नरवाना अंबाला जगाधरी नारायणगढ़ और मणीमाजरा के कुछ हिस्से"
"28 सितंबर 1966 को सीमा आयोग की रिपोर्ट के आधार पर हरियाणा में किन प्रमुख क्षेत्रों को शामिल किया गया", "रोहतक गुडगाँव करनाल महेंद्रगढ़ जींद नरवाना अंबाला जगाधरी नारायणगढ़ और मणीमाजरा के कुछ हिस्से", "अंबाला यमुनानगर कुरुक्षेत्र", "हिसार फतेहाबाद सिरसा", "भिवानी दादरी चरखी", "रोहतक गुडगाँव करनाल महेंद्रगढ़ जींद नरवाना अंबाला जगाधरी नारायणगढ़ और मणीमाजरा के कुछ हिस्से"
"हरियाणा और पंजाब का हाई कोर्ट गठन के समय क्या था", "एक ही रखा गया", "अलग-अलग किया गया", "चंडीगढ़ में स्थानांतरित किया गया", "दिल्ली में स्थानांतरित किया गया", "एक ही रखा गया"
"हरियाणा के गठन के समय पंजाब और हरियाणा का उच्च न्यायालय किस स्थिति में था", "एक ही रखा गया था", "अलग-अलग स्थापित किए गए थे", "चंडीगढ़ में स्थानांतरित किया गया था", "दिल्ली में स्थानांतरित किया गया था", "एक ही रखा गया था"
"हरियाणा का गठन किस तारीख को हुआ था", "1 नवंबर 1966", "23 अप्रैल 1966", "31 मई 1966", "28 सितंबर 1966", "1 नवंबर 1966"
"हरियाणा राज्य की स्थापना किस दिनांक को हुई थी", "1 नवंबर 1966", "23 अप्रैल 1966", "31 मई 1966", "28 सितंबर 1966", "1 नवंबर 1966"
"हरियाणा का गठन किस अनुच्छेद और धारा के तहत हुआ", "अनुच्छेद 135(3) और धारा-3", "अनुच्छेद 3 और धारा-135(3)", "अनुच्छेद 135 और धारा-3", "अनुच्छेद 3 और धारा-135", "अनुच्छेद 135(3) और धारा-3"
"भारतीय संविधान के किस अनुच्छेद और धारा के तहत हरियाणा राज्य का गठन किया गया", "अनुच्छेद 135(3) और धारा-3", "अनुच्छेद 3 और धारा-135(3)", "अनुच्छेद 135 और धारा-3", "अनुच्छेद 3 और धारा-135", "अनुच्छेद 135(3) और धारा-3"
"पंजाब री-ऑर्गेनाइजेशन एक्ट के हिसाब से पंजाब के अंदर से कौन से दो अलग राज्य बनाए गए", "हरियाणा और हिमाचल प्रदेश", "हरियाणा और पंजाब", "पंजाब और हिमाचल प्रदेश", "हरियाणा और दिल्ली", "हरियाणा और हिमाचल प्रदेश"
"किस अधिनियम के तहत पंजाब से हरियाणा और हिमाचल प्रदेश दो अलग राज्य बनाए गए", "पंजाब री-ऑर्गेनाइजेशन एक्ट", "स्टेट्स रीऑर्गेनाइजेशन एक्ट", "हरियाणा फॉर्मेशन एक्ट", "पंजाब & हरियाणा मर्जर एक्ट", "पंजाब री-ऑर्गेनाइजेशन एक्ट"
"किस कारण से HR 1 नवंबर 1966 में नए राज्य के रूप में उभरकर आया", "पंजाब री-ऑर्गेनाइजेशन एक्ट", "सच्चर फार्मला", "फजल अली आयोग", "सीमा आयोग", "पंजाब री-ऑर्गेनाइजेशन एक्ट"
"हरियाणा के एक नवंबर 1966 को नए राज्य के रूप में स्थापित होने का प्रमुख कारण क्या था", "पंजाब री-ऑर्गेनाइजेशन एक्ट का लागू होना", "सच्चर फार्मला का अनुमोदन", "फजल अली आयोग की सिफारिशें", "सीमा आयोग की रिपोर्ट", "पंजाब री-ऑर्गेनाइजेशन एक्ट का लागू होना"